****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.100     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.100     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.100     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.100     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.100     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.100     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.100     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)   (kg/kg)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63      1.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    P-Con.
      Step (FluxAvg)       (m)       (m)       (m)       (m)   (kg/kg)
         5     1.101     0.083     0.011     0.007   -10.987     0.917
        10     1.213     0.091     0.024     0.014   -10.972     0.842
        15     1.337     0.101     0.038     0.022   -10.956     0.774
        20     1.474     0.111     0.054     0.031   -10.938     0.712
        25     1.624     0.122     0.071     0.040   -10.919     0.655
        30     1.791     0.135     0.089     0.051   -10.898     0.604
        35     1.975     0.149     0.110     0.063   -10.874     0.557
        40     2.178     0.164     0.133     0.076   -10.848     0.515
        45     2.402     0.181     0.158     0.090   -10.820     0.476
        50     2.650     0.199     0.185     0.105   -10.789     0.441
        55     2.923     0.220     0.216     0.122   -10.754     0.410
        60     3.225     0.242     0.249     0.141   -10.717     0.381
        65     3.558     0.266     0.286     0.161   -10.676     0.355
        70     3.926     0.293     0.326     0.183   -10.631     0.331
        75     4.332     0.323     0.370     0.207   -10.582     0.310
        80     4.780     0.355     0.419     0.233   -10.528     0.290
        85     5.275     0.391     0.472     0.261   -10.469     0.273
        90     5.822     0.430     0.530     0.292   -10.405     0.257
        95     6.425     0.472     0.594     0.325   -10.335     0.242
       100     7.092     0.518     0.663     0.360   -10.259     0.229
       105     7.827     0.569     0.738     0.399   -10.176     0.217
       110     8.640     0.624     0.820     0.440   -10.085     0.206
       115     9.536     0.683     0.910     0.484    -9.987     0.197
       120    10.527     0.747     1.007     0.531    -9.879     0.188
       125    11.620     0.817     1.111     0.581    -9.763     0.180
       130    12.827     0.892     1.225     0.633    -9.636     0.172
       135    14.159     0.972     1.346     0.689    -9.499     0.166
       140    15.631     1.059     1.476     0.747    -9.351     0.160
       145    17.255     1.151     1.614     0.806    -9.192     0.155
       150    19.049     1.250     1.758     0.867    -9.024     0.150
       155    21.029     1.355     1.910     0.929    -8.844     0.145
       160    23.215     1.467     2.069     0.992    -8.654     0.141
       165    25.629     1.586     2.235     1.055    -8.453     0.138
       170    28.294     1.713     2.407     1.118    -8.241     0.134
       175    31.236     1.847     2.586     1.181    -8.017     0.131
       180    34.485     1.988     2.771     1.244    -7.782     0.129
       185    38.072     2.139     2.963     1.306    -7.536     0.126
       190    42.032     2.298     3.162     1.367    -7.278     0.124
       195    46.404     2.466     3.369     1.427    -7.008     0.122
       200    51.232     2.644     3.583     1.486    -6.726     0.120
       205    56.562     2.832     3.805     1.544    -6.432     0.118
       210    62.446     3.031     4.035     1.600    -6.126     0.117
       215    68.943     3.241     4.275     1.655    -5.807     0.116
       220    76.117     3.463     4.525     1.708    -5.475     0.114
       225    84.036     3.698     4.785     1.760    -5.132     0.113
       230    92.781     3.947     5.057     1.811    -4.775     0.112
       235   102.435     4.209     5.341     1.860    -4.406     0.111
       240   113.094     4.486     5.639     1.907    -4.024     0.110
       245   124.863     4.784     5.949     1.952    -3.632     0.110
       250   137.648     5.144     6.256     1.994    -3.263     0.109
---------------------------- Plume traps -----------------------------
       255   147.499     5.462     6.466     2.020    -3.029     0.109
------------------------- merging happened ---------------------------
       260   155.017     5.722     6.621     2.038    -2.869     0.108
       265   161.123     5.987     6.763     2.055    -2.732     0.108
       270   165.961     6.243     6.894     2.069    -2.614     0.108
---------------------------- Plume surfaces --------------------------
       275   169.754     6.481     7.017     2.082    -2.512     0.108
-------------------- Starting Farfield Calculations --------------------
Farfield dispersion based on wastefield width of :     109.59 (m)
4/3 Power Law based Eddy Diffusivity is used:
  Dilution     Width  Distance
        ()       (m)       (m)
   169.754   109.610     7.320
   169.754   110.556    10.000
   169.754   112.320    15.000
   169.754   114.075    20.000
   169.754   115.833    25.000
   169.756   117.598    30.000
   169.765   119.370    35.000
   169.795   121.149    40.000
   169.866   122.936    45.000
   169.999   124.732    50.000
   170.212   126.534    55.000
   170.519   128.345    60.000
   170.929   130.163    65.000
   171.445   131.988    70.000
   172.068   133.821    75.000
   172.796   135.662    80.000
   173.624   137.510    85.000
   174.549   139.365    90.000
   175.565   141.228    95.000
   176.666   143.099   100.000
............................. Reached Chronic Mixing Zone ..........................
   177.706   144.760   104.421
